Rec No;Long Gate Name;Description;Groups;Rec;Rate;DDE; DDE I/A;App;Topic;Item;Source;VPI;Address;Sample;Rate;Compound I/A;K1;Gate1;Op;K2;Gate2;Type;Fmt;Tol/Fil/Len;X1;X2;Y1;Y2;Low;High;RO;ODBC;Local;Lock;LockDef;Replay;TagMapper;StartupDef;StartupHis;StartupRetain;MultiState;LockValue;StatusTag;UnlockTime;LoAlarm;LoLoAlarm;HiAlarm;HiHiAlarm;RocAlarm;DevAlarm;StartupValue;MultiStateID;Gate Name;ExportToCoDeSys;VarName;IO;Address;Sampling;NoSampling;Retain;ReadOnly;InitBy
912;FC4T40_LU01BF_DB01_VI2;Hochregallager ZU-Dampfbef. Ein;1;C;;N;;;;;PLC;1;!19333.BV.0.PV;N;;;;;;;;D; ;0;;;;;;;N;N;N;N;N;N;N;N;N;N;Y;0;;-1;-1;-1;-1;-1;-1;-1;0;1;FC4T40_LU01BF_DB01_VI2;0;;0;;0;0;0;0;0
913;FC4T40_LU01BF_DB01_VI3;Hochregallager ZU-Entfeuchten;1;C;;N;;;;;PLC;1;!19333.BV.9.PV;N;;;;;;;;D; ;0;;;;;;;N;N;N;N;N;N;N;N;N;N;Y;0;;-1;-1;-1;-1;-1;-1;-1;0;1;FC4T40_LU01BF_DB01_VI3;0;;0;;0;0;0;0;0
914;FC4T40_LU01BF_DB01_YB1;Hochregallager ZU-Dampfbef. Stellsignal;1;C;;N;;;;;PLC;1;!19333.AO.5.PV;N;;;;;;;;A;F;0;0;1;0;1;1;0;N;N;N;N;N;N;N;N;N;N;N;0;;-1;-1;-1;-1;-1;-1;-1;0;0;FC4T40_LU01BF_DB01_YB1;0;;0;;0;0;0;0;0
915;FC4T40_LU01FO_DP01_AL1;Hochregallager FO-Strömungswächter Alarm;1;C;;N;;;;;PLC;1;!19333.BI.28.PV;N;;;;;;;;D; ;0;;;;;;;N;N;N;N;N;N;N;N;N;N;Y;0;;-1;-1;-1;-1;-1;-1;-1;0;3;FC4T40_LU01FO_DP01_AL1;0;;0;;0;0;0;0;0
916;FC4T40_LU01FO_DP01_AL2;Hochregallager FO-Strömungswächter Alarm;1;C;;N;;;;;PLC;1;!19333.BO.19.PV;N;;;;;;;;D; ;0;;;;;;;N;N;N;N;N;N;N;N;N;N;Y;0;;-1;-1;-1;-1;-1;-1;-1;0;3;FC4T40_LU01FO_DP01_AL2;0;;0;;0;0;0;0;0
917;FC4T40_LU01FO_RS01_AL1;Hochregallager FO-Rev.Schalter Wartung;1;C;;N;;;;;PLC;1;!19333.BI.25.PV;N;;;;;;;;D; ;0;;;;;;;N;N;N;N;N;N;N;N;N;N;Y;0;;-1;-1;-1;-1;-1;-1;-1;0;3;FC4T40_LU01FO_RS01_AL1;0;;0;;0;0;0;0;0
918;FC4T40_LU01FO_VE01_AL1;Hochregallager FO-Ventilator Alarm;1;C;;N;;;;;PLC;1;!19333.BI.26.PV;N;;;;;;;;D; ;0;;;;;;;N;N;N;N;N;N;N;N;N;N;Y;0;;-1;-1;-1;-1;-1;-1;-1;0;3;FC4T40_LU01FO_VE01_AL1;0;;0;;0;0;0;0;0
919;FC4T40_LU01FO_VE01_ME1;Hochregallager FO-Ventilator Rückführung;1;C;;N;;;;;PLC;1;!19333.AI.14.PV;N;;;;;;;;A;F;0;0;1;0;1;1;0;N;N;N;N;N;N;N;N;N;N;N;0;;-1;-1;-1;-1;-1;-1;-1;0;0;FC4T40_LU01FO_VE01_ME1;0;;0;;0;0;0;0;0
920;FC4T40_LU01FO_VE01_RM1;Hochregallager BRM FO Ventilator;1;C;;N;;;;;PLC;1;!19333.BV.12.PV;N;;;;;;;;D; ;0;;;;;;;N;N;N;N;N;N;N;N;N;N;Y;0;;-1;-1;-1;-1;-1;-1;-1;0;1;FC4T40_LU01FO_VE01_RM1;0;;0;;0;0;0;0;0
921;FC4T40_LU01FO_VE01_XS1;Hochregallager Y FO Ventilator;1;C;;N;;;;;PLC;1;!19333.AV.9.PV;N;;;;;;;;A;F;0;0;1;0;1;1;0;N;N;N;N;N;N;N;N;N;N;N;0;;-1;-1;-1;-1;-1;-1;-1;0;0;FC4T40_LU01FO_VE01_XS1;0;;0;;0;0;0;0;0
922;FC4T40_LU01FO_VE01_YB1;Hochregallager FO-Ventilator Stellsignal;1;C;;N;;;;;PLC;1;!19333.AO.2.PV;N;;;;;;;;A;F;0;0;1;0;1;1;0;N;N;N;N;N;N;N;N;N;N;N;0;;-1;-1;-1;-1;-1;-1;-1;0;0;FC4T40_LU01FO_VE01_YB1;0;;0;;0;0;0;0;0
923;FC4T40_LU01FR_HS01_RM1;Hochregallager SGK-Anlageschalter RM Auto;1;C;;N;;;;;PLC;1;!19333.BI.0.PV;N;;;;;;;;D; ;0;;;;;;;N;N;N;N;N;N;N;N;N;N;Y;0;;-1;-1;-1;-1;-1;-1;-1;0;2;FC4T40_LU01FR_HS01_RM1;0;;0;;0;0;0;0;0
924;FC4T40_LU01FR_HS01_RM2;Hochregallager SGK-Anlageschalter RM Hand;1;C;;N;;;;;PLC;1;!19333.BI.1.PV;N;;;;;;;;D; ;0;;;;;;;N;N;N;N;N;N;N;N;N;N;Y;0;;-1;-1;-1;-1;-1;-1;-1;0;1;FC4T40_LU01FR_HS01_RM2;0;;0;;0;0;0;0;0
925;FC4T40_LU01LE_FW01_AL1;Hochregallager Frostschutz Frostalarm;1;C;;N;;;;;PLC;1;!19333.BI.22.PV;N;;;;;;;;D; ;0;;;;;;;N;N;N;N;N;N;N;N;N;N;Y;0;;-1;-1;-1;-1;-1;-1;-1;0;3;FC4T40_LU01LE_FW01_AL1;0;;0;;0;0;0;0;0
926;FC4T40_LU01LE_PU01_AL1;Hochregallager NW-Pumpe Alarm;1;C;;N;;;;;PLC;1;!19333.BI.23.PV;N;;;;;;;;D; ;0;;;;;;;N;N;N;N;N;N;N;N;N;N;Y;0;;-1;-1;-1;-1;-1;-1;-1;0;3;FC4T40_LU01LE_PU01_AL1;0;;0;;0;0;0;0;0
927;FC4T40_LU01LE_PU01_AL2;Hochregallager Pumpe Haupt-VL Heizung Alarm;1;C;;N;;;;;PLC;1;!19333.BI.31.PV;N;;;;;;;;D; ;0;;;;;;;N;N;N;N;N;N;N;N;N;N;Y;0;;-1;-1;-1;-1;-1;-1;-1;0;3;FC4T40_LU01LE_PU01_AL2;0;;0;;0;0;0;0;0
