Rec No;Long Gate Name;Description;Groups;Rec;Rate;DDE; DDE I/A;App;Topic;Item;Source;VPI;Address;Sample;Rate;Compound I/A;K1;Gate1;Op;K2;Gate2;Type;Fmt;Tol/Fil/Len;X1;X2;Y1;Y2;Low;High;RO;ODBC;Local;Lock;LockDef;Replay;TagMapper;StartupDef;StartupHis;StartupRetain;MultiState;LockValue;StatusTag;UnlockTime;LoAlarm;LoLoAlarm;HiAlarm;HiHiAlarm;RocAlarm;DevAlarm;StartupValue;MultiStateID;Gate Name;ExportToCoDeSys;VarName;IO;Address;Sampling;NoSampling;Retain;ReadOnly;InitBy
1526;072HH03P01_001S1;DO Pumpe HG Ost;19bc16d;C;;N;;;;;PLC;3;001:7201_41_DO;N;;;;;;;;A;U;0;0;1;0;1;1;0;N;N;N;N;N;N;N;N;N;N;N;0;;-1;-1;-1;-1;-1;-1;-1;0;0;072HH03P01_001S1;0;;0;;0;0;0;0;0
1527;072HH03P01_001Z1;Pumpe HG Ost_[h];19bc16d;C;;N;;;;;PLC;3;001:7201_160_CI;N;;;;;;;;A;F;0;0;1;0;1;1;0;N;N;N;N;N;N;N;N;N;N;N;0;;-1;-1;-1;-1;-1;-1;-1;0;0;072HH03P01_001Z1;0;;0;;0;0;0;0;0
1528;072HH03T01_001M1;VL-Temperatur HG Ost_[°C];19bc16d;C;;N;;;;;PLC;3;001:7201_3_AI;N;;;;;;;;A;F;0;0;1;0;1;1;0;N;N;N;N;N;N;N;N;N;N;N;0;;-1;-1;-1;-1;-1;-1;-1;0;0;072HH03T01_001M1;0;;0;;0;0;0;0;0
1529;072HH03T01_001W1;XS Raumtemp Tag HG Ost_[°C];19bc16d;C;;N;;;;;PLC;3;001:7201_118_AO;N;;;;;;;;A;F;0;0;1;0;1;1;0;N;N;N;N;N;N;N;N;N;N;N;0;;-1;-1;-1;-1;-1;-1;-1;0;0;072HH03T01_001W1;0;;0;;0;0;0;0;0
1530;072HH03T01_001W2;SL Heizkurve HG Ost;19bc16d;C;;N;;;;;PLC;3;001:7201_117_AO;N;;;;;;;;A;F;0;0;1;0;1;1;0;N;N;N;N;N;N;N;N;N;N;N;0;;-1;-1;-1;-1;-1;-1;-1;0;0;072HH03T01_001W2;0;;0;;0;0;0;0;0
1531;072HH03T01_001W3;XSC VL-Temp HG Ost_[°C];19bc16d;C;;N;;;;;PLC;3;001:7201_130_AI;N;;;;;;;;A;F;0;0;1;0;1;1;0;N;N;N;N;N;N;N;N;N;N;N;0;;-1;-1;-1;-1;-1;-1;-1;0;0;072HH03T01_001W3;0;;0;;0;0;0;0;0
1532;072HH03T01_001W4;XS Raumtemp Red HG Ost_[°C];19bc16d;C;;N;;;;;PLC;3;001:7201_125_AO;N;;;;;;;;A;F;0;0;1;0;1;1;0;N;N;N;N;N;N;N;N;N;N;N;0;;-1;-1;-1;-1;-1;-1;-1;0;0;072HH03T01_001W4;0;;0;;0;0;0;0;0
1533;072HH03T01_001W5;XS Heizgrenze HG Ost_[°C];19bc16d;C;;N;;;;;PLC;3;001:7201_126_AO;N;;;;;;;;A;F;0;0;1;0;1;1;0;N;N;N;N;N;N;N;N;N;N;N;0;;-1;-1;-1;-1;-1;-1;-1;0;0;072HH03T01_001W5;0;;0;;0;0;0;0;0
1534;072HH03T01_001W6;Min Grenzwert VL TempHG Ost_[°C];19bc16d;C;;N;;;;;PLC;3;001:7201_127_AO;N;;;;;;;;A;F;0;0;1;0;1;1;0;N;N;N;N;N;N;N;N;N;N;N;0;;-1;-1;-1;-1;-1;-1;-1;0;0;072HH03T01_001W6;0;;0;;0;0;0;0;0
1535;072HH03T01_001W7;Max Grenzwert VL TempHG Ost_[°C];19bc16d;C;;N;;;;;PLC;3;001:7201_128_AO;N;;;;;;;;A;F;0;0;1;0;1;1;0;N;N;N;N;N;N;N;N;N;N;N;0;;-1;-1;-1;-1;-1;-1;-1;0;0;072HH03T01_001W7;0;;0;;0;0;0;0;0
